# Taken at http://www.eso.org/sci/facilities/paranal/decommissioned/isaac/inst/isaac_img.html
# nm Ksband
2346.3 0.0134
2346.9 0.0131
2347.4 0.0128
2348 0.0124
2348.5 0.0117
2349.1 0.0110
2349.6 0.0104
2350.2 0.0099
2350.7 0.0095
2351.3 0.0092
2351.8 0.0088
2352.4 0.0086
2352.9 0.0085
2353.5 0.0085
2354 0.0084
2354.6 0.0081
2355.2 0.0075
2355.7 0.0068
2356.3 0.0061
2356.8 0.0056
2357.4 0.0053
2357.9 0.0051
2358.5 0.0052
2359 0.0052
2359.6 0.0054
2360.2 0.0054
2360.7 0.0054
2361.3 0.0052
2361.8 0.0049
2362.4 0.0046
2362.9 0.0042
2363.5 0.0039
2364.1 0.0036
2364.6 0.0033
2365.2 0.0029
2365.7 0.0025
2366.3 0.0022
2366.9 0.0022
2367.4 0.0023
2368 0.0024
2368.5 0.0024
2369.1 0.0023
2369.7 0.0023
2370.2 0.0026
2370.8 0.0031
2371.4 0.0037
2371.9 0.0041
2372.5 0.0040
2373 0.0035
2373.6 0.0028
2374.2 0.0023
2374.7 0.0021
2375.3 0.0020
2375.9 0.0019
2376.4 0.0018
2377 0.0016
2377.6 0.0015
2378.1 0.0015
2378.7 0.0017
2379.3 0.0019
2379.8 0.0021
2380.4 0.0021
2381 0.0021
2381.5 0.0021
2382.1 0.0021
2382.7 0.0021
2383.2 0.0022
2383.8 0.0023
2384.4 0.0026
2384.9 0.0028
2385.5 0.0029
2386.1 0.0027
2386.6 0.0024
2387.2 0.0021
2387.8 0.0020
2388.3 0.0022
2388.9 0.0025
2389.5 0.0027
2390.1 0.0026
2390.6 0.0021
2391.2 0.0014
2391.8 0.0008
2392.3 0.0005
2392.9 0.0005
2393.5 0.0005
2394.1 0.0006
2394.6 0.0007
2395.2 0.0008
2395.8 0.0010
2396.4 0.0010
2396.9 0.0010
2397.5 0.0011
2398.1 0.0012
2398.7 0.0014
2399.2 0.0017
2399.8 0.0020
2400 0.0
